title,Author,time,date,details
Shardul Thakur bowls longest over in IPL,Anmol Sharma, 07:37 pm,"Tuesday, 8 April 2025",LSG fast bowler Shardul Thakur on Tuesday bowled the joint-longest over in IPL. The 33-year-old bowled a total of 11 deliveries in his third over against KKR. Shardul bowled five wide balls before delivering the first legal ball. Mohammed Siraj and Tushar Pande have also bowled 11-ball overs in IPL.
Waqf (Amendment) Act comes into force,Arshiya Chopra, 06:47 pm,"Tuesday, 8 April 2025","The Ministry of Minority Affairs on Tuesday announced that the Waqf (Amendment) Act, 2025 has come into force. ""The Central Government...appoints the 8th day of April, 2025 as the date on which the provisions of the said Act shall come into force,"" the notification read. The Act received President Droupadi Murmu's assent on Saturday."
"Ex-cricketer Kedar Jadhav, who represented India in ODI World Cup 2019, joins BJP",Anmol Sharma, 04:19 pm,"Tuesday, 8 April 2025","Former Team India cricketer Kedar Jadhav, who represented India in ODI World Cup 2019, has become a part of the BJP. He joined the party in the presence of Maharashtra minister and state BJP chief Chandrashekhar Bawankule in Mumbai. Kedar played 73 ODIs and nine T20Is for India between 2014 and 2020."
China to ban Hollywood movies over Trump's tariffs: Reports,Ankush Verma, 12:46 pm,"Tuesday, 8 April 2025","Multiple reports have claimed that China is planning to ban Hollywood movies in response to the tariffs imposed by US President Donald Trump. The reports come as Trump threatened to impose 50% additional tariffs on Chinese imports if the Asian country doesn't withdraw its 34% retaliatory tariffs. China may also impose tariffs on American farm goods, the reports added."
"Illegal, arbitrary: SC on TN Governor Ravi withholding assent to Bills",Sakshita Khosla, 12:25 pm,"Tuesday, 8 April 2025","Supreme Court set aside Tamil Nadu Governor RN Ravi's decision to withhold assent to 10 Bills passed by state Assembly, calling it ""illegal"" and ""arbitrary"". It said Governor cannot reserve Bills for the President's consideration after withholding assent, adding that there's no concept of ""absolute veto"" on Bills by Governor. It also laid down timelines for Governor's actions on Bills."
US student visa can be revoked for traffic offences: Report,Disha Jana, 12:25 pm,"Tuesday, 8 April 2025","International students in the US could see their visas revoked for minor traffic offences such as a speeding ticket, a report claimed. Shoplifting and alcohol-related charges are also reportedly being used as reasons for the revocation of student visas, the report added. Deportations of international students have ramped up after US President Donald Trump's administration assumed office."
'Gehraiyaan' actor Dhairya Karwa ties the knot in Jaipur ,Udit Gupta, 12:24 pm,"Tuesday, 8 April 2025","'Gehraiyaan' actor Dhairya Karwa has tied the knot in an intimate ceremony in Jaipur. A picture from the ceremony has surfaced online showing him smiling for the camera along with his bride. It's unclear when the actor got married. Apart from 'Gehraiyaan', Dhairya also appeared in 'Uri: The Surgical Strike', 'Made in Heaven' and '83'. 
"
"Trump rejects EU's zero-for-zero tariff offer, says 'not enough'",Pragya Swastik, 12:06 pm,"Tuesday, 8 April 2025","US President Donald Trump has rejected the European Union's 'zero-for-zero tariff' offer for industrial goods. ""We're always ready for a good deal. But we're also prepared to respond with countermeasures,"" EU, hit with 20% reciprocal tariffs by the US, had said. However, Trump has rejected the EU's offer, saying, ""It's not enough,"" and the offer didn't meet the US' expectations."
Flexitarian Diet benefits diabetics: What's the approach?,, 12:02 pm,"Tuesday, 8 April 2025","A flexitarian diet, rich in plant-based foods with occasional meat, aids in managing blood sugar and improving insulin sensitivity. Key foods include whole grains, legumes, non-starchy veggies, fruits, healthy fats, and lean proteins. It is flexible, supports sustainable eating, and can reduce Type 2 diabetes risk. For personalised guidance, consult a healthcare provider."
K'taka Home Minister apologises for remark on B'luru groping case,Ankit Tiwari, 12:00 pm,"Tuesday, 8 April 2025","Karnataka Home Minister G Parameshwara has apologised after facing criticism for his ""Happens in big cities"" remark to a video showing a man groping a woman on a Bengaluru road. ""My statement wasn't understood properly...I'm someone who has always been concerned for women's safety,"" he said. ""If any woman was hurt by this...I express my regret and apologise,"" he added. "
3 Indian dishes named among 50 best street foods by TasteAtlas,Medhaa Gupta, 11:53 am,"Tuesday, 8 April 2025","India's Parotta and Amritsari kulcha secured the fifth and sixth spots on TasteAtlas' 50 Best Rated Street Food Dishes in the World. Algeria's Garantita ranked first on the list and it was followed by China's Guotie, Indonesia's Siomay and Mexico's Birria tacos. Meanwhile, India's Chole Bhature was placed on the 40th spot on the list."
I'm coming: Ousted Bangladesh PM Sheikh Hasina to supporters,Ankush Verma, 11:48 am,"Tuesday, 8 April 2025","During a social media interaction with her supporters, ousted Bangladesh Prime Minister Sheikh Hasina said, ""Allah kept me alive for a reason,"" adding that the ""day will come"" when those targeting Awami League members will be brought to justice. When one of her supporters said, ""May Allah grant you the opportunity again,"" she replied, ""He will...I am coming."""
China growing due to unfair trade practices: Goyal on US-China row,Disha Jana, 11:48 am,"Tuesday, 8 April 2025","Commenting on US-China's recent stand-off on tariffs and counter tariffs, Union Commerce and Industry Minister Piyush Goyal said the latter's growth can be attributed to unfair trade practices. He  added that the entire focus should be on fair play, and pricing the goods and services ""at an honest value"". China has vowed to retaliate if US imposes additional 50% tariff."
3 more groups have disassociated from Hurriyat in J&K: Amit Shah,Subhangi Singh, 11:43 am,"Tuesday, 8 April 2025","Union Home Minister Amit Shah, who is on his J&K visit, said that three more organisations have 
disassociated themselves from the Hurriyat and have discarded separatism. The organisations are - Jammu Kashmir Islamic Political Party, Jammu and Kashmir Muslim Democratic League, and Kashmir Freedom Front. ""Modi Ji's vision for united and powerful Bharat stands even more bolstered today,"" he said."
More than 25 crore people globally don't know they have diabetes: Report,Anmol Sharma, 11:41 am,"Tuesday, 8 April 2025","More than 25 crore people globally are not aware that they have diabetes, the 11th edition of the International Diabetes Federation's Diabetes Atlas stated. Around 58.9 crore people are living with diabetes, the research said. Further, the report projected that the number of adults with diabetes will reach 85.3 crore by 2050."
"US rates El Salvador safer than UK, Italy & France for travel",Disha Jana, 11:31 am,"Wednesday, 9 April 2025","US has elevated El Salvador's travel safety rating, grouping it with the least dangerous countries for Americans to visit due to reduced crime. El Salvador's upgraded rating at 'Level 1' puts it above several Western European countries like UK, Italy and France, all of whom are at 'Level 2'. Notably, several US deportees are being sent to El Salvador jails."
PM Modi appeals to people to take 9 resolutions on Navkar Mahamantra Divas,Sakshita Khosla, 11:07 am,"Wednesday, 9 April 2025","PM Narendra Modi on Wednesday appealed to people to take nine resolutions at the Navkar Mahamantra Divas event in Delhi. The resolutions include saving water, cleanliness mission, being 'vocal for local', adopting natural farming and healthy lifestyle, adopting yoga and sports, helping the poor, etc. Navkar Mahamantra is the most revered and universal chant in Jainism, said a PMO statement."
Banking stocks fall after RBI cuts repo rate,Pragya Swastik, 11:04 am,"Wednesday, 9 April 2025","The Nifty Bank index slid by over 450 points to 50,055 on Wednesday, with banking stocks falling up to 2%, after RBI cut repo rate by 25 bps to 6%. Bank of Baroda emerged as the biggest loser, falling over 2%. Canara Bank, Punjab National Bank, SBI, ICICI Bank's stock also fell amid concerns over narrowing interest margins for banks."
